sampleId,path,label
2007_007098,/home/zk/code/dataset/VOC2007/image/2007_007098.jpg,"{""annotations"": [{""category_id"": ""cat"", ""bbox"": [""17"", ""65"", ""201"", ""351""]}]}"
2007_006348,/home/zk/code/dataset/VOC2007/image/2007_006348.jpg,"{""annotations"": [{""category_id"": ""tvmonitor"", ""bbox"": [""12"", ""75"", ""80"", ""205""]}]}"
2007_007591,/home/zk/code/dataset/VOC2007/image/2007_007591.jpg,"{""annotations"": [{""category_id"": ""bus"", ""bbox"": [""25"", ""89"", ""311"", ""419""]}]}"
2007_000733,/home/zk/code/dataset/VOC2007/image/2007_000733.jpg,"{""annotations"": [{""category_id"": ""person"", ""bbox"": [""48"", ""25"", ""273"", ""383""]}]}"
2007_009597,/home/zk/code/dataset/VOC2007/image/2007_009597.jpg,"{""annotations"": [{""category_id"": ""train"", ""bbox"": [""43"", ""102"", ""460"", ""282""]}]}"
2007_000039,/home/zk/code/dataset/VOC2007/image/2007_000039.jpg,"{""annotations"": [{""category_id"": ""tvmonitor"", ""bbox"": [""156"", ""89"", ""344"", ""279""]}]}"
2007_001630,/home/zk/code/dataset/VOC2007/image/2007_001630.jpg,"{""annotations"": [{""category_id"": ""person"", ""bbox"": [""26"", ""14"", ""54"", ""114""]}, {""category_id"": ""person"", ""bbox"": [""74"", ""95"", ""200"", ""358""]}, {""category_id"": ""person"", ""bbox"": [""155"", ""196"", ""343"", ""500""]}, {""category_id"": ""person"", ""bbox"": [""333"", ""32"", ""373"", ""255""]}, {""category_id"": ""bicycle"", ""bbox"": [""85"", ""231"", ""200"", ""428""]}, {""category_id"": ""bicycle"", ""bbox"": [""149"", ""358"", ""340"", ""500""]}]}"
2007_005896,/home/zk/code/dataset/VOC2007/image/2007_005896.jpg,"{""annotations"": [{""category_id"": ""person"", ""bbox"": [""15"", ""98"", ""275"", ""500""]}]}"
2007_002088,/home/zk/code/dataset/VOC2007/image/2007_002088.jpg,"{""annotations"": [{""category_id"": ""cow"", ""bbox"": [""1"", ""30"", ""470"", ""332""]}]}"
2007_001487,/home/zk/code/dataset/VOC2007/image/2007_001487.jpg,"{""annotations"": [{""category_id"": ""boat"", ""bbox"": [""242"", ""117"", ""277"", ""151""]}]}"
2007_005688,/home/zk/code/dataset/VOC2007/image/2007_005688.jpg,"{""annotations"": [{""category_id"": ""cat"", ""bbox"": [""170"", ""44"", ""459"", ""251""]}]}"
2007_006661,/home/zk/code/dataset/VOC2007/image/2007_006661.jpg,"{""annotations"": [{""category_id"": ""bicycle"", ""bbox"": [""75"", ""147"", ""134"", ""220""]}, {""category_id"": ""person"", ""bbox"": [""77"", ""96"", ""132"", ""210""]}, {""category_id"": ""person"", ""bbox"": [""144"", ""111"", ""175"", ""188""]}, {""category_id"": ""person"", ""bbox"": [""182"", ""123"", ""215"", ""186""]}, {""category_id"": ""bicycle"", ""bbox"": [""146"", ""145"", ""171"", ""186""]}, {""category_id"": ""person"", ""bbox"": [""259"", ""139"", ""270"", ""171""]}, {""category_id"": ""person"", ""bbox"": [""244"", ""139"", ""259"", ""170""]}, {""category_id"": ""person"", ""bbox"": [""213"", ""135"", ""227"", ""154""]}, {""category_id"": ""person"", ""bbox"": [""290"", ""147"", ""302"", ""167""]}, {""category_id"": ""person"", ""bbox"": [""276"", ""144"", ""288"", ""167""]}, {""category_id"": ""person"", ""bbox"": [""300"", ""146"", ""311"", ""170""]}]}"
2007_005227,/home/zk/code/dataset/VOC2007/image/2007_005227.jpg,"{""annotations"": [{""category_id"": ""person"", ""bbox"": [""66"", ""8"", ""346"", ""304""]}]}"
2007_007481,/home/zk/code/dataset/VOC2007/image/2007_007481.jpg,"{""annotations"": [{""category_id"": ""bird"", ""bbox"": [""61"", ""53"", ""362"", ""317""]}]}"
2007_000175,/home/zk/code/dataset/VOC2007/image/2007_000175.jpg,"{""annotations"": [{""category_id"": ""sheep"", ""bbox"": [""25"", ""34"", ""419"", ""271""]}]}"
2007_009649,/home/zk/code/dataset/VOC2007/image/2007_009649.jpg,"{""annotations"": [{""category_id"": ""person"", ""bbox"": [""324"", ""188"", ""434"", ""336""]}, {""category_id"": ""person"", ""bbox"": [""277"", ""75"", ""364"", ""212""]}, {""category_id"": ""person"", ""bbox"": [""197"", ""138"", ""297"", ""258""]}, {""category_id"": ""person"", ""bbox"": [""196"", ""96"", ""307"", ""335""]}, {""category_id"": ""person"", ""bbox"": [""116"", ""86"", ""290"", ""347""]}, {""category_id"": ""person"", ""bbox"": [""53"", ""86"", ""344"", ""375""]}, {""category_id"": ""tvmonitor"", ""bbox"": [""361"", ""72"", ""412"", ""124""]}, {""category_id"": ""chair"", ""bbox"": [""385"", ""72"", ""495"", ""283""]}]}"
2007_003190,/home/zk/code/dataset/VOC2007/image/2007_003190.jpg,"{""annotations"": [{""category_id"": ""sheep"", ""bbox"": [""100"", ""30"", ""269"", ""179""]}, {""category_id"": ""sheep"", ""bbox"": [""7"", ""47"", ""107"", ""265""]}, {""category_id"": ""sheep"", ""bbox"": [""123"", ""93"", ""282"", ""458""]}]}"
2007_003178,/home/zk/code/dataset/VOC2007/image/2007_003178.jpg,"{""annotations"": [{""category_id"": ""train"", ""bbox"": [""72"", ""138"", ""411"", ""269""]}]}"
2007_005460,/home/zk/code/dataset/VOC2007/image/2007_005460.jpg,"{""annotations"": [{""category_id"": ""cat"", ""bbox"": [""40"", ""4"", ""484"", ""370""]}]}"
2007_002618,/home/zk/code/dataset/VOC2007/image/2007_002618.jpg,"{""annotations"": [{""category_id"": ""sheep"", ""bbox"": [""17"", ""20"", ""483"", ""343""]}]}"
2007_009327,/home/zk/code/dataset/VOC2007/image/2007_009327.jpg,"{""annotations"": [{""category_id"": ""person"", ""bbox"": [""117"", ""79"", ""258"", ""403""]}]}"
2007_005857,/home/zk/code/dataset/VOC2007/image/2007_005857.jpg,"{""annotations"": [{""category_id"": ""pottedplant"", ""bbox"": [""183"", ""133"", ""277"", ""302""]}]}"
2007_006445,/home/zk/code/dataset/VOC2007/image/2007_006445.jpg,"{""annotations"": [{""category_id"": ""horse"", ""bbox"": [""65"", ""156"", ""401"", ""459""]}]}"
2007_008945,/home/zk/code/dataset/VOC2007/image/2007_008945.jpg,"{""annotations"": [{""category_id"": ""diningtable"", ""bbox"": [""5"", ""172"", ""500"", ""333""]}]}"
2007_004866,/home/zk/code/dataset/VOC2007/image/2007_004866.jpg,"{""annotations"": [{""category_id"": ""cat"", ""bbox"": [""111"", ""97"", ""237"", ""192""]}]}"
2007_001955,/home/zk/code/dataset/VOC2007/image/2007_001955.jpg,"{""annotations"": [{""category_id"": ""horse"", ""bbox"": [""247"", ""183"", ""296"", ""239""]}]}"
2007_006086,/home/zk/code/dataset/VOC2007/image/2007_006086.jpg,"{""annotations"": [{""category_id"": ""bottle"", ""bbox"": [""109"", ""75"", ""168"", ""264""]}, {""category_id"": ""diningtable"", ""bbox"": [""3"", ""239"", ""497"", ""474""]}]}"
