,Unnamed: 0,sampleId,path,isHard
0,3829,7726,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007726.jpg,1
1,4865,9791,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009791.jpg,0
2,2909,5855,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005855.jpg,1
3,1208,2416,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002416.jpg,0
4,2998,6031,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006031.jpg,1
5,1552,3128,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003128.jpg,0
6,3375,6804,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006804.jpg,1
7,4449,8922,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008922.jpg,0
8,2675,5362,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005362.jpg,1
9,1805,3637,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003637.jpg,0
10,3583,7246,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007246.jpg,1
11,18,37,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000037.jpg,0
12,1749,3531,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003531.jpg,1
13,1329,2671,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002671.jpg,0
14,205,405,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000405.jpg,1
15,2121,4267,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004267.jpg,0
16,1770,3563,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003563.jpg,1
17,1951,3933,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003933.jpg,0
18,4627,9292,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009292.jpg,1
19,1015,2007,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002007.jpg,0
20,2217,4454,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004454.jpg,1
21,568,1123,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/001123.jpg,0
22,939,1865,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/001865.jpg,1
23,641,1280,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/001280.jpg,0
